obs_radius,episode,coverage_time,total_reward,final_coverage
,1,10000,271,0.4368
,2,10000,324,0.5216
,3,10000,303,0.488
,4,10000,334,0.5376
,5,10000,350,0.5632
,6,10000,363,0.584
,7,10000,385,0.6192
,8,10000,350,0.5632
,9,10000,332,0.5344
,10,10000,333,0.536
,11,10000,355,0.5712
,12,10000,375,0.6032
,13,10000,373,0.6
,14,10000,389,0.6256
,15,10000,400,0.6432
,16,10000,387,0.6224
,17,10000,331,0.5328
,18,10000,381,0.6128
,19,10000,380,0.6112
,20,10000,395,0.6352
,21,10000,382,0.6144
,22,10000,419,0.6736
,23,10000,410,0.6592
,24,10000,395,0.6352
,25,10000,375,0.6032
,26,10000,394,0.6336
,27,10000,426,0.6848
,28,10000,424,0.6816
,29,10000,437,0.7024
,30,10000,408,0.656
,31,10000,404,0.6496
,32,10000,412,0.6624
,33,10000,441,0.7088
,34,10000,460,0.7392
,35,10000,424,0.6816
,36,10000,434,0.6976
,37,10000,422,0.6784
,38,10000,456,0.7328
,39,10000,456,0.7328
,40,10000,434,0.6976
,41,10000,451,0.7248
,42,10000,480,0.7712
,43,10000,461,0.7408
,44,10000,469,0.7536
,45,10000,478,0.768
,46,10000,419,0.6736
,47,10000,406,0.6528
,48,10000,396,0.6368
,49,10000,460,0.7392
,50,10000,491,0.7888
,51,10000,476,0.7648
,52,10000,468,0.752
,53,10000,474,0.7616
,54,10000,467,0.7504
,55,10000,474,0.7616
,56,10000,478,0.768
,57,10000,464,0.7456
,58,10000,478,0.768
,59,10000,489,0.7856
,60,10000,479,0.7696
,61,10000,492,0.7904
,62,10000,493,0.792
,63,10000,425,0.6832
,64,10000,461,0.7408
,65,10000,459,0.7376
,66,10000,468,0.752
,67,10000,486,0.7808
,68,10000,500,0.8032
,69,10000,491,0.7888
,70,10000,483,0.776
,71,10000,490,0.7872
,72,10000,503,0.808
,73,10000,485,0.7792
,74,10000,506,0.8128
,75,10000,500,0.8032
,76,10000,476,0.7648
,77,10000,454,0.7296
,78,10000,496,0.7968
,79,10000,518,0.832
,80,10000,500,0.8032
,81,10000,513,0.824
,82,10000,506,0.8128
,83,10000,493,0.792
,84,10000,497,0.7984
,85,10000,518,0.832
,86,10000,517,0.8304
,87,10000,514,0.8256
,88,10000,514,0.8256
,89,10000,510,0.8192
,90,10000,506,0.8128
,91,10000,483,0.776
,92,10000,506,0.8128
,93,10000,505,0.8112
,94,10000,508,0.816
,95,10000,511,0.8208
,96,10000,529,0.8496
,97,10000,515,0.8272
,98,10000,523,0.84
,99,10000,523,0.84
,100,10000,523,0.84
,101,10000,514,0.8256
,102,10000,520,0.8352
,103,10000,490,0.7872
,104,10000,518,0.832
,105,10000,503,0.808
,106,10000,519,0.8336
,107,10000,525,0.8432
,108,10000,498,0.8
,109,10000,526,0.8448
,110,10000,518,0.832
,111,10000,525,0.8432
,112,10000,529,0.8496
,113,10000,524,0.8416
,114,10000,535,0.8592
,115,10000,515,0.8272
,116,10000,535,0.8592
,117,10000,524,0.8416
,118,10000,542,0.8704
,119,10000,512,0.8224
,120,10000,513,0.824
,121,10000,532,0.8544
,122,10000,550,0.8832
,123,10000,533,0.856
,124,10000,507,0.8144
