obs_radius,episode,coverage_time,total_reward,final_coverage
2,1,2000,174,0.0704
2,2,2000,196,0.0792
2,3,2000,213,0.086
2,4,2000,275,0.1108
2,5,2000,206,0.0832
2,6,2000,204,0.0824
2,7,2000,177,0.0716
2,8,2000,242,0.0976
2,9,2000,180,0.0728
2,10,2000,260,0.1048
2,11,2000,270,0.1088
2,12,2000,211,0.0852
2,13,2000,249,0.1004
2,14,2000,319,0.1284
2,15,2000,250,0.1008
2,16,2000,211,0.0852
2,17,2000,229,0.0924
2,18,2000,230,0.0928
2,19,2000,197,0.0796
2,20,2000,255,0.1028
2,21,2000,314,0.1264
2,22,2000,260,0.1048
2,23,2000,248,0.1
2,24,2000,272,0.1096
2,25,2000,299,0.1204
2,26,2000,245,0.0988
2,27,2000,276,0.1112
2,28,2000,314,0.1264
2,29,2000,259,0.1044
2,30,2000,270,0.1088
2,31,2000,204,0.0824
2,32,2000,274,0.1104
2,33,2000,285,0.1148
2,34,2000,246,0.0992
2,35,2000,319,0.1284
2,36,2000,229,0.0924
2,37,2000,286,0.1152
2,38,2000,227,0.0916
2,39,2000,314,0.1264
2,40,2000,312,0.1256
2,41,2000,238,0.096
2,42,2000,246,0.0992
2,43,2000,274,0.1104
2,44,2000,286,0.1152
2,45,2000,291,0.1172
2,46,2000,259,0.1044
2,47,2000,283,0.114
2,48,2000,293,0.118
2,49,2000,342,0.1376
2,50,2000,217,0.0876
2,51,2000,299,0.1204
2,52,2000,254,0.1024
2,53,2000,271,0.1092
2,54,2000,236,0.0952
2,55,2000,241,0.0972
2,56,2000,239,0.0964
2,57,2000,245,0.0988
2,58,2000,283,0.114
2,59,2000,252,0.1016
2,60,2000,306,0.1232
2,61,2000,239,0.0964
2,62,2000,189,0.0764
2,63,2000,309,0.1244
2,64,2000,288,0.116
2,65,2000,237,0.0956
2,66,2000,263,0.106
2,67,2000,312,0.1256
2,68,2000,328,0.132
2,69,2000,319,0.1284
2,70,2000,233,0.094
2,71,2000,211,0.0852
2,72,2000,267,0.1076
2,73,2000,303,0.122
2,74,2000,219,0.0884
2,75,2000,290,0.1168
2,76,2000,298,0.12
2,77,2000,293,0.118
2,78,2000,311,0.1252
2,79,2000,252,0.1016
2,80,2000,268,0.108
2,81,2000,257,0.1036
2,82,2000,322,0.1296
2,83,2000,266,0.1072
2,84,2000,256,0.1032
2,85,2000,202,0.0816
2,86,2000,245,0.0988
2,87,2000,272,0.1096
2,88,2000,241,0.0972
2,89,2000,240,0.0968
2,90,2000,241,0.0972
2,91,2000,301,0.1212
2,92,2000,270,0.1088
2,93,2000,277,0.1116
2,94,2000,243,0.098
2,95,2000,278,0.112
2,96,2000,266,0.1072
2,97,2000,286,0.1152
2,98,2000,308,0.124
2,99,2000,229,0.0924
2,100,2000,293,0.118
2,101,2000,323,0.13
2,102,2000,224,0.0904
2,103,2000,294,0.1184
2,104,2000,257,0.1036
2,105,2000,257,0.1036
2,106,2000,257,0.1036
2,107,2000,310,0.1248
2,108,2000,347,0.1396
2,109,2000,320,0.1288
2,110,2000,296,0.1192
2,111,2000,239,0.0964
2,112,2000,287,0.1156
2,113,2000,275,0.1108
2,114,2000,249,0.1004
2,115,2000,287,0.1156
2,116,2000,263,0.106
2,117,2000,289,0.1164
2,118,2000,284,0.1144
2,119,2000,336,0.1352
