grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
50,50,2,1,10000,390,0.1568
50,50,2,2,10000,461,0.1852
50,50,2,3,10000,512,0.2056
50,50,2,4,10000,520,0.2088
50,50,2,5,10000,475,0.1908
50,50,2,6,10000,465,0.1868
50,50,2,7,10000,481,0.1932
50,50,2,8,10000,464,0.1864
50,50,2,9,10000,574,0.2304
50,50,2,10,10000,450,0.1808
50,50,2,11,10000,409,0.1644
50,50,2,12,10000,535,0.2148
50,50,2,13,10000,510,0.2048
50,50,2,14,10000,535,0.2148
50,50,2,15,10000,575,0.2308
50,50,2,16,10000,510,0.2048
50,50,2,17,10000,587,0.2356
50,50,2,18,10000,483,0.194
50,50,2,19,10000,572,0.2296
50,50,2,20,10000,492,0.1976
50,50,2,21,10000,530,0.2128
50,50,2,22,10000,511,0.2052
50,50,2,23,10000,537,0.2156
50,50,2,24,10000,545,0.2188
50,50,2,25,10000,519,0.2084
50,50,2,26,10000,537,0.2156
50,50,2,27,10000,558,0.224
50,50,2,28,10000,603,0.242
50,50,2,29,10000,572,0.2296
50,50,2,30,10000,538,0.216
50,50,2,31,10000,599,0.2404
50,50,2,32,10000,602,0.2416
50,50,2,33,10000,566,0.2272
50,50,2,34,10000,619,0.2484
50,50,2,35,10000,629,0.2524
50,50,2,36,10000,626,0.2512
50,50,2,37,10000,601,0.2412
50,50,2,38,10000,611,0.2452
50,50,2,39,10000,633,0.254
50,50,2,40,10000,607,0.2436
50,50,2,41,10000,594,0.2384
50,50,2,42,10000,649,0.2604
50,50,2,43,10000,552,0.2216
50,50,2,44,10000,567,0.2276
50,50,2,45,10000,601,0.2412
50,50,2,46,10000,598,0.24
50,50,2,47,10000,663,0.266
50,50,2,48,10000,575,0.2308
50,50,2,49,10000,601,0.2412
50,50,2,50,10000,570,0.2288
50,50,2,51,10000,581,0.2332
50,50,2,52,10000,698,0.28
50,50,2,53,10000,639,0.2564
50,50,2,54,10000,608,0.244
50,50,2,55,10000,596,0.2392
50,50,2,56,10000,608,0.244
50,50,2,57,10000,598,0.24
50,50,2,58,10000,636,0.2552
50,50,2,59,10000,626,0.2512
50,50,2,60,10000,606,0.2432
50,50,2,61,10000,666,0.2672
50,50,2,62,10000,630,0.2528
50,50,2,63,10000,626,0.2512
50,50,2,64,10000,660,0.2648
50,50,2,65,10000,628,0.252
50,50,2,66,10000,633,0.254
50,50,2,67,10000,684,0.2744
