grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
50,50,,1,10000,279,0.1124
50,50,,2,10000,258,0.104
50,50,,3,10000,290,0.1168
50,50,,4,10000,312,0.1256
50,50,,5,10000,340,0.1368
50,50,,6,10000,310,0.1248
50,50,,7,10000,351,0.1412
50,50,,8,10000,315,0.1268
50,50,,9,10000,414,0.1664
50,50,,10,10000,351,0.1412
50,50,,11,10000,369,0.1484
50,50,,12,10000,306,0.1232
50,50,,13,10000,367,0.1476
50,50,,14,10000,392,0.1576
50,50,,15,10000,403,0.162
50,50,,16,10000,320,0.1288
50,50,,17,10000,379,0.1524
50,50,,18,10000,408,0.164
50,50,,19,10000,364,0.1464
50,50,,20,10000,364,0.1464
50,50,,21,10000,359,0.1444
50,50,,22,10000,415,0.1668
50,50,,23,10000,382,0.1536
50,50,,24,10000,411,0.1652
50,50,,25,10000,407,0.1636
50,50,,26,10000,456,0.1832
50,50,,27,10000,369,0.1484
50,50,,28,10000,420,0.1688
50,50,,29,10000,403,0.162
50,50,,30,10000,446,0.1792
50,50,,31,10000,452,0.1816
50,50,,32,10000,453,0.182
50,50,,33,10000,425,0.1708
50,50,,34,10000,463,0.186
50,50,,35,10000,430,0.1728
50,50,,36,10000,471,0.1892
50,50,,37,10000,468,0.188
50,50,,38,10000,490,0.1968
50,50,,39,10000,462,0.1856
50,50,,40,10000,423,0.17
50,50,,41,10000,453,0.182
50,50,,42,10000,467,0.1876
50,50,,43,10000,475,0.1908
50,50,,44,10000,419,0.1684
50,50,,45,10000,435,0.1748
50,50,,46,10000,477,0.1916
50,50,,47,10000,446,0.1792
50,50,,48,10000,463,0.186
50,50,,49,10000,468,0.188
50,50,,50,10000,493,0.198
50,50,,51,10000,492,0.1976
50,50,,52,10000,474,0.1904
50,50,,53,10000,493,0.198
50,50,,54,10000,478,0.192
50,50,,55,10000,523,0.21
50,50,,56,10000,484,0.1944
50,50,,57,10000,523,0.21
50,50,,58,10000,469,0.1884
50,50,,59,10000,562,0.2256
50,50,,60,10000,478,0.192
50,50,,61,10000,493,0.198
50,50,,62,10000,511,0.2052
50,50,,63,10000,523,0.21
50,50,,64,10000,548,0.22
50,50,,65,10000,442,0.1776
50,50,,66,10000,502,0.2016
50,50,,67,10000,507,0.2036
50,50,,68,10000,512,0.2056
50,50,,69,10000,559,0.2244
50,50,,70,10000,537,0.2156
50,50,,71,10000,524,0.2104
50,50,,72,10000,545,0.2188
50,50,,73,10000,506,0.2032
50,50,,74,10000,531,0.2132
50,50,,75,10000,518,0.208
50,50,,76,10000,538,0.216
50,50,,77,10000,535,0.2148
50,50,,78,10000,523,0.21
50,50,,79,10000,524,0.2104
50,50,,80,10000,535,0.2148
50,50,,81,10000,544,0.2184
50,50,,82,10000,568,0.228
50,50,,83,10000,568,0.228
50,50,,84,10000,597,0.2396
50,50,,85,10000,535,0.2148
50,50,,86,10000,575,0.2308
50,50,,87,10000,628,0.252
50,50,,88,10000,504,0.2024
